가락	200059	서울특별시 송파구 송파대로28길 6 가락동 훼미리 오피스텔2차 (가락본동) 뉴훼미리오피스텔 105
가재울배달점	201255	서울특별시 서대문구 가재울미래로 2 (서울특별시  서대문구 남가좌동 (남가좌제1동)  385 )
가평	200344	경기도 가평군 읍내리 가화로 76 원할머니보쌈 (가평읍)
가평설악배달점	201718	경기도 가평군 설악면 유명로 1641-11
강남구청배달점	201431	서울특별시 강남구 선릉로 712 (서울특별시  강남구 청담동 (청담동)  40-28 )
강북미아배달점	201689	서울특별시 강북구 삼양로27길 95 두산위브트레지움아파트 상가동 제지하2층 103호
강원랜드	200874	강원도 정선군 고한읍 고한로 47 2, 3층
강원삼척	201552	강원도 삼척시 정상로 38-30, 1층 102호
강원속초	201471	강원도 속초시 중앙로17번길 11 (강원도  속초시 교동 (노학동)  740-5 )
개봉	200614	서울특별시 구로구 개봉로 14 (개봉제3동) 1층
개포	200820	서울특별시 강남구 선릉로4길 13
거여역	200920	서울특별시 송파구 오금로 483
경기광주신현배달점	201271	경기도 광주시 오포읍 새말길 95, 1층 6호(우림상가)
경기광주태전배달점	201459	경기도 광주시 고불로 87 태전 효성해링턴 플레이스 119동 102호
경산압량	201264	경상북도 경산시 압독2로2길 29 (경상북도  경산시 압량면 (압량면)  454 )
경산하양	201548	경북 경산시 대학로295길 14 (경상북도  경산시 하양읍 (하양읍)  405-3 )
경주황성	201159	경북 경주시 현곡면 용담로 171 111호(상림센트럴파크) (현곡면 금장리 408)
계산	201637	인천광역시 계양구 계양문화로 55 (계산동)
고덕배달점	201286	서울특별시 강동구 상일로 147
곤지암	200630	경기도 광주시 삼리 평촌길 35-10 보람빌딩 (곤지암읍)
공덕	201599	서울특별시 마포구 마포대로10길 12 트레퍼빌딩
과천	200507	경기도 과천시 별양상가1로 10 과천타워 (별양동) 과천타워 204
광명	200055	경기도 광명시 광명로 870
광양금호	201725	전라남도 광양시 희망길 12-7
